item_id,item_name,category,current_stock,reorder_level,cost_price,selling_price,supplier_id,last_restocked
101,Wireless Earbuds Model 1,Audio,144,28,27,59,S01,2025-11-21
102,Webcam Model 2,Electronics,5,33,31,56,S01,2025-11-28
103,Optical Mouse Model 9,Peripherals,127,20,19,22,S03,2025-12-19
104,Desk Lamp Model 4,Office,107,38,23,30,S01,2025-12-12
105,Gaming Chair Model 5,Furniture,69,26,150,236,S01,2025-12-09
106,Wireless Earbuds Model 6,Audio,158,31,39,61,S01,2025-12-14
107,Webcam Model 2,Electronics,98,22,47,73,S03,2025-12-08
108,Standing Desk Model 4,Furniture,140,22,191,372,S01,2025-12-03
109,Wireless Earbuds Model 4,Audio,160,23,32,62,S02,2025-12-08
110,Laptop Stand Model 6,Office,95,26,18,69,S03,2025-11-19
111,Standing Desk Model 3,Furniture,118,27,195,359,S02,2025-12-02
112,Webcam Model 4,Electronics,137,30,31,69,S01,2025-12-05
113,Desk Lamp Model 5,Office,58,26,33,75,S02,2025-11-28
114,Bluetooth Speaker Model 7,Audio,132,34,39,76,S01,2025-11-30
115,Webcam Model 9,Electronics,83,38,43,92,S02,2025-12-08
116,Optical Mouse Model 3,Peripherals,115,35,4,58,S01,2025-11-22
117,Laptop Stand Model 3,Office,151,33,29,29,S02,2025-12-09
118,Standing Desk Model 8,Furniture,117,28,207,330,S03,2025-11-22
119,Webcam Model 5,Electronics,148,40,40,62,S02,2025-12-12
120,Laptop Stand Model 8,Office,50,28,26,73,S01,2025-12-17
121,Wireless Earbuds Model 5,Audio,157,40,36,83,S01,2025-11-24
122,Gaming Chair Model 3,Furniture,119,36,140,268,S02,2025-12-16
123,Smart Watch Model 2,Electronics,96,29,137,233,S01,2025-11-20
124,Wireless Earbuds Model 8,Audio,154,22,37,94,S01,2025-11-23
125,Bluetooth Speaker Model 9,Audio,71,28,51,98,S02,2025-11-28
126,Webcam Model 4,Electronics,141,29,42,97,S03,2025-12-08
127,Bluetooth Speaker Model 9,Audio,107,23,42,74,S01,2025-12-06
128,Smart Watch Model 9,Electronics,79,38,137,230,S01,2025-11-18
129,Optical Mouse Model 2,Peripherals,54,30,4,42,S01,2025-12-02
130,Bluetooth Speaker Model 4,Audio,119,24,53,96,S02,2025-11-30
131,Bluetooth Speaker Model 7,Audio,74,23,38,102,S02,2025-12-07
132,Desk Lamp Model 7,Office,109,21,35,71,S01,2025-11-18
133,Desk Lamp Model 6,Office,152,23,22,42,S01,2025-12-19
134,Bluetooth Speaker Model 3,Audio,104,25,43,89,S01,2025-11-19
135,Bluetooth Speaker Model 9,Audio,62,21,55,94,S01,2025-11-20
136,Optical Mouse Model 3,Peripherals,102,35,17,23,S02,2025-11-18
137,Laptop Stand Model 7,Office,50,32,18,75,S02,2025-12-03
138,Desk Lamp Model 9,Office,134,35,19,42,S02,2025-11-28
139,Smart Watch Model 9,Electronics,57,30,131,233,S03,2025-12-15
140,Webcam Model 9,Electronics,70,21,46,60,S01,2025-11-19
141,Standing Desk Model 2,Furniture,136,27,202,337,S03,2025-11-30
142,Standing Desk Model 1,Furniture,129,22,203,372,S03,2025-12-18
143,Gaming Chair Model 5,Furniture,76,30,147,246,S02,2025-11-23
