transaction_id,date,customer_id,region,item_id,item_name,quantity,unit_price,discount_applied,total_revenue,cost_of_goods,profit
TXN000001,2025-01-01,C0075,North America,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000002,2025-01-01,C0121,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000003,2025-01-01,C0024,Asia-Pacific,112,Standing Desk Frame,3,350,0.1,945.0,600,345.0
TXN000004,2025-01-01,C0088,Domestic,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000005,2025-01-01,C0169,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000006,2025-01-01,C0110,Asia-Pacific,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000007,2025-01-01,C0064,Europe,101,Smart Watch X1,2,250,0.0,500.0,280,220.0
TXN000008,2025-01-02,C0135,North America,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000009,2025-01-02,C0028,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000010,2025-01-02,C0143,Domestic,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000011,2025-01-02,C0123,Europe,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000012,2025-01-02,C0176,North America,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000013,2025-01-02,C0079,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000014,2025-01-02,C0044,Europe,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000015,2025-01-03,C0110,Asia-Pacific,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000016,2025-01-03,C0156,Europe,104,Wireless Optical Mouse,2,30,0.0,60.0,24,36.0
TXN000017,2025-01-03,C0119,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000018,2025-01-03,C0181,Asia-Pacific,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000019,2025-01-03,C0175,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000020,2025-01-03,C0037,Domestic,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000021,2025-01-03,C0158,Asia-Pacific,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000022,2025-01-03,C0127,Asia-Pacific,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000023,2025-01-03,C0146,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000024,2025-01-03,C0145,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000025,2025-01-03,C0056,North America,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000026,2025-01-03,C0035,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000027,2025-01-04,C0142,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000028,2025-01-04,C0103,North America,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000029,2025-01-04,C0058,Asia-Pacific,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000030,2025-01-04,C0010,Asia-Pacific,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000031,2025-01-04,C0093,Europe,107,RGB Mech Keyboard,3,120,0.0,360.0,210,150.0
TXN000032,2025-01-04,C0093,Europe,112,Standing Desk Frame,2,350,0.1,630.0,400,230.0
TXN000033,2025-01-04,C0080,Europe,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000034,2025-01-04,C0197,Europe,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000035,2025-01-04,C0099,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000036,2025-01-04,C0174,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000037,2025-01-04,C0025,Europe,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000038,2025-01-04,C0023,North America,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000039,2025-01-04,C0070,North America,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000040,2025-01-04,C0140,Europe,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000041,2025-01-05,C0068,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000042,2025-01-05,C0139,Europe,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000043,2025-01-05,C0126,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000044,2025-01-05,C0140,Europe,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000045,2025-01-05,C0116,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000046,2025-01-05,C0174,Europe,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000047,2025-01-05,C0056,North America,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000048,2025-01-05,C0152,North America,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000049,2025-01-05,C0160,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000050,2025-01-05,C0001,North America,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000051,2025-01-05,C0186,Europe,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000052,2025-01-05,C0140,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000053,2025-01-06,C0052,Asia-Pacific,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000054,2025-01-06,C0142,North America,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000055,2025-01-06,C0147,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000056,2025-01-06,C0039,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000057,2025-01-06,C0082,Europe,110,Portable Bluetooth Speaker,2,80,0.0,160.0,90,70.0
TXN000058,2025-01-06,C0171,Asia-Pacific,104,Wireless Optical Mouse,2,30,0.0,60.0,24,36.0
TXN000059,2025-01-06,C0195,Europe,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000060,2025-01-06,C0030,Asia-Pacific,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000061,2025-01-06,C0070,North America,107,RGB Mech Keyboard,2,120,0.0,240.0,140,100.0
TXN000062,2025-01-06,C0003,Europe,103,Ergonomic Laptop Stand,2,45,0.0,90.0,40,50.0
TXN000063,2025-01-06,C0186,Europe,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000064,2025-01-06,C0073,Asia-Pacific,105,USB-C Multi-Hub,3,40,0.0,120.0,54,66.0
TXN000065,2025-01-07,C0079,Europe,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000066,2025-01-07,C0034,Asia-Pacific,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000067,2025-01-07,C0117,Domestic,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000068,2025-01-07,C0148,North America,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000069,2025-01-07,C0198,Domestic,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000070,2025-01-07,C0067,Asia-Pacific,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000071,2025-01-07,C0029,North America,112,Standing Desk Frame,2,350,0.1,630.0,400,230.0
TXN000072,2025-01-07,C0125,Asia-Pacific,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000073,2025-01-07,C0087,North America,109,LED Desk Lamp,2,50,0.0,100.0,50,50.0
TXN000074,2025-01-07,C0096,Asia-Pacific,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000075,2025-01-08,C0146,North America,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000076,2025-01-08,C0085,Asia-Pacific,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000077,2025-01-08,C0082,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000078,2025-01-08,C0013,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000079,2025-01-09,C0022,North America,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000080,2025-01-09,C0096,Asia-Pacific,109,LED Desk Lamp,2,50,0.0,100.0,50,50.0
TXN000081,2025-01-09,C0138,Asia-Pacific,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000082,2025-01-09,C0179,Asia-Pacific,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000083,2025-01-09,C0146,North America,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000084,2025-01-09,C0196,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000085,2025-01-09,C0043,Domestic,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000086,2025-01-09,C0123,Europe,110,Portable Bluetooth Speaker,2,80,0.0,160.0,90,70.0
TXN000087,2025-01-09,C0152,North America,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000088,2025-01-09,C0103,North America,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000089,2025-01-09,C0100,Asia-Pacific,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000090,2025-01-10,C0029,North America,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000091,2025-01-10,C0088,Domestic,107,RGB Mech Keyboard,2,120,0.0,240.0,140,100.0
TXN000092,2025-01-10,C0161,Europe,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000093,2025-01-10,C0173,North America,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000094,2025-01-10,C0033,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000095,2025-01-10,C0083,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000096,2025-01-10,C0002,Domestic,106,"4K Ultra Monitor 27""",3,400,0.1,1080.0,840,240.0
TXN000097,2025-01-10,C0109,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000098,2025-01-10,C0044,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000099,2025-01-10,C0007,Europe,109,LED Desk Lamp,2,50,0.0,100.0,50,50.0
TXN000100,2025-01-11,C0198,Domestic,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000101,2025-01-11,C0126,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000102,2025-01-11,C0096,Asia-Pacific,106,"4K Ultra Monitor 27""",2,400,0.1,720.0,560,160.0
TXN000103,2025-01-11,C0165,Asia-Pacific,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000104,2025-01-11,C0036,Domestic,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000105,2025-01-11,C0109,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000106,2025-01-11,C0169,Europe,111,Webcam 1080p,3,75,0.0,225.0,120,105.0
TXN000107,2025-01-11,C0103,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000108,2025-01-11,C0141,Domestic,111,Webcam 1080p,2,75,0.0,150.0,80,70.0
TXN000109,2025-01-11,C0007,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000110,2025-01-11,C0046,North America,112,Standing Desk Frame,2,350,0.1,630.0,400,230.0
TXN000111,2025-01-11,C0089,Domestic,104,Wireless Optical Mouse,2,30,0.0,60.0,24,36.0
TXN000112,2025-01-12,C0037,Domestic,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000113,2025-01-12,C0184,Asia-Pacific,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000114,2025-01-12,C0042,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000115,2025-01-12,C0125,Asia-Pacific,103,Ergonomic Laptop Stand,3,45,0.0,135.0,60,75.0
